Node id;Depot;Minimum idle time (minutes);Maximum idle time (minutes);Driver sign on/off allowed;Driver change allowed;Driver break allowed;
1139;TRUE;-1;-1;TRUE;TRUE;TRUE; 
3;FALSE;2;60;FALSE;TRUE;TRUE; 
4;FALSE;2;60;FALSE;TRUE;TRUE; 
6;FALSE;2;60;FALSE;TRUE;TRUE; 
293;FALSE;2;60;FALSE;TRUE;TRUE; 
294;FALSE;2;60;FALSE;TRUE;TRUE; 
367;FALSE;2;60;FALSE;TRUE;TRUE; 
366;FALSE;2;60;FALSE;TRUE;TRUE; 
370;FALSE;2;60;FALSE;TRUE;TRUE; 
440;FALSE;2;60;FALSE;TRUE;TRUE; 
439;FALSE;2;60;FALSE;TRUE;TRUE; 
508;FALSE;2;60;FALSE;TRUE;TRUE; 
510;FALSE;2;60;FALSE;TRUE;TRUE; 
1077;FALSE;2;60;FALSE;TRUE;TRUE; 
1076;FALSE;2;60;FALSE;TRUE;TRUE; 
573;FALSE;2;60;FALSE;TRUE;TRUE; 
572;FALSE;2;60;FALSE;TRUE;TRUE; 
81;FALSE;2;60;FALSE;TRUE;TRUE; 
86;FALSE;2;60;FALSE;TRUE;TRUE; 
84;FALSE;2;60;FALSE;TRUE;TRUE; 
638;FALSE;2;60;FALSE;TRUE;TRUE; 
671;FALSE;2;60;FALSE;TRUE;TRUE; 
734;FALSE;2;60;FALSE;TRUE;TRUE; 
773;FALSE;2;60;FALSE;TRUE;TRUE; 
774;FALSE;2;60;FALSE;TRUE;TRUE; 
929;FALSE;2;60;FALSE;TRUE;TRUE; 
346;FALSE;2;60;FALSE;TRUE;TRUE; 
930;FALSE;2;60;FALSE;TRUE;TRUE; 
82;FALSE;2;60;FALSE;TRUE;TRUE;
